player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
8860,Stanton Kidd,UTA,28,198.12,97.975872,Colorado State,USA,Undrafted,Undrafted,Undrafted,4,0,0.8,0.3,2.3,0,0.158,0.139,0,0.1,2019-20
6193,Sterling Brown,LAL,28,195.58,99.336648,Southern Methodist,USA,2017,2,46,4,0,2,0.5,0.4,0.091,0.152,0.061,0,0.077,2022-23
9175,Jon Teske,MEM,25,215.9,120.20188,Michigan,USA,Undrafted,Undrafted,Undrafted,3,0,0.7,0.3,-7.1,0,0.28600000000000003,0.1,0,0.16699999999999998,2021-22
667,Feron Hunt,NYK,22,203.2,88.45044,Southern Methodist,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0.5,-10.1,0.091,0,0.136,0,0.2,2021-22
818,Isaiah Roby,OKC,22,203.2,104.32616,Nebraska-Lincoln,USA,2019,2,45,3,0,0.7,0,-11.5,0,0.16699999999999998,0.071,0,0,2019-20
9177,Joel Ayayi,WAS,22,193.04,81.64656,Gonzaga,France,Undrafted,Undrafted,Undrafted,7,0.3,0.4,0.6,12.2,0.037000000000000005,0.105,0.133,0.16699999999999998,0.364,2021-22
6818,Leandro Bolmaro,UTA,22,198.12,90.7184,None,Argentina,2020,1,23,14,0.4,0.5,0.5,0.7,0.051,0.04,0.155,0.15,0.121,2022-23
8883,Matt Mooney,CLE,23,187.96,90.264808,Texas Tech,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.8,0.3,17.5,0,0.158,0.08,0.25,0.071,2019-20
198,Brian Bowen II,IND,22,198.12,86.18248,None,USA,Undrafted,Undrafted,Undrafted,6,0.5,0.5,0,9.4,0,0.158,0.098,0.33799999999999997,0,2020-21
2996,Jared Dudley,LAL,35,198.12,107.501304,Boston College,USA,2007,1,22,12,0.5,1.8,0.4,-1.7,0.047,0.213,0.055999999999999994,0.33299999999999996,0.081,2020-21
545,Devon Dotson,WAS,23,185.42,83.91452,Kansas,USA,Undrafted,Undrafted,Undrafted,6,0.5,1.7,1.3,-5.7,0.107,0.085,0.102,0.15,0.21100000000000002,2022-23
6760,Robert Woodard II,SAS,22,198.12,106.59411999999999,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,0.086,0.146,0.158,0.207,0.086,2021-22
5129,Solomon Hill,ATL,31,198.12,102.511792,Arizona,USA,2013,1,23,13,0.6,1.8,0.9,14.3,0.043,0.115,0.064,0.2,0.11699999999999999,2021-22
